GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pokedex.api,fr.univavignon.pokedex.api,Team,0,34,0,0,0,4,0,1,0,1
pokedex.api,fr.univavignon.pokedex.api,PokemonFactory,0,37,0,0,0,4,0,2,0,2
pokedex.api,fr.univavignon.pokedex.api,PokedexException,0,4,0,0,0,2,0,1,0,1
pokedex.api,fr.univavignon.pokedex.api,PokemonMetadataProvider,0,28,0,0,0,3,0,2,0,2
pokedex.api,fr.univavignon.pokedex.api,Pokedex,5,77,0,0,2,14,1,8,1,8
pokedex.api,fr.univavignon.pokedex.api,PokemonMetadata,0,33,0,0,0,12,0,6,0,6
pokedex.api,fr.univavignon.pokedex.api,PokemonTrainerFactory,0,17,0,0,0,4,0,2,0,2
pokedex.api,fr.univavignon.pokedex.api,PokedexFactory,0,9,0,0,0,2,0,2,0,2
pokedex.api,fr.univavignon.pokedex.api,PokemonTrainer,3,18,0,0,1,7,1,3,1,3
pokedex.api,fr.univavignon.pokedex.api,PokemonComparators,6,48,0,0,1,10,1,2,1,2
pokedex.api,fr.univavignon.pokedex.api,Pokemon,0,38,0,0,0,12,0,6,0,6
